sampleID,class
5_Process_blank,Process_Blank
16_QC,Quality_Control
22_QC,Quality_Control
29_QC,Quality_Control
33_QC,Quality_Control
34_QC,Quality_Control
8_QC,Quality_Control
9_QC,Quality_Control
11_Young_BR1_TR1,Samples
12_Mature_BR2_TR2,Samples
13_Sapling_BR2_TR1,Samples
14_Sapling_BR1_TR3,Samples
15_Sapling_BR2_TR2,Samples
17_Young_BR1_TR3,Samples
18_Mature_BR1_TR3,Samples
19_Mature_BR2_TR1,Samples
20_Mature_BR1_TR2,Samples
21_Young_BR2_TR1,Samples
24_Young_BR2_TR2,Samples
25_Sapling_BR2_TR3,Samples
26_Mature_BR1_TR1,Samples
27_Young_BR1_TR2,Samples
28_Mature_BR2_TR3,Samples
30_Sapling_BR1_TR1,Samples
31_Sapling_BR1_TR2,Samples
32_Young_BR2_TR3,Samples
